year,period,cbi,r,jk_gdp,jk_def,ice,neer,gs1
1999,1,-5.6016,2.883,1451.4,439.8,7.95,462.68,4.51
1999,2,0.47719,3.016,1451.3,439.79,7.5,460.45,4.7
1999,3,0.31036,2.871,1452.2,439.85,7.07,458.66,4.78
1999,4,-0.29717,2.616,1452.1,439.97,6.83,457.39,4.69
1999,5,-1.0545,2.667,1452.1,440.05,6.73,456.87,4.85
1999,6,-1.2903,2.889,1452.7,440.16,6.13,454.97,5.1
1999,7,2.4855,2.987,1453.2,440.31,6.19,455.09,5.03
1999,8,-0.82264,3.088,1453.4,440.44,6.37,455.92,5.2
1999,9,0.012436,3.152,1453.3,440.53,6.27,454.2,5.25
1999,10,-7.7131,3.427,1454.5,440.58,6.16,455.1,5.43
1999,11,3.4615,3.502,1454.3,440.65,5.69,452.66,5.55
1999,12,0.61999,3.662,1455,440.79,5.42,450.67,5.84
2000,1,-2.3706,3.889,1455,440.91,5.36,450.71,6.12
2000,2,6.269,3.892,1455.9,441.03,5.4,449.38,6.22
2000,3,-0.72745,4.139,1456.1,441.17,5.96,447.81,6.22
2000,4,-1.5661,4.347,1456.4,441.26,6.38,445.96,6.15
2000,5,6.1639,4.739,1456.7,441.38,7.25,444.05,6.33
2000,6,2.9762,4.872,1456.7,441.57,7.25,447.52,6.17
2000,7,-0.53072,5.036,1457.2,441.74,7.56,446.9,6.08
2000,8,-2.4896,5.14,1457,441.89,7.67,444.16,6.18
2000,9,0.31769,5.094,1457.5,442.02,8.59,442.09,6.13
2000,10,3.8166,5.173,1457.4,442.05,9.64,440.5,6.01
2000,11,-1.3097,4.949,1457.9,442.22,12.11,441.36,6.09
2000,12,1.9675,4.631,1458.7,442.47,11.57,444.77,5.6
2001,1,-0.41169,4.466,1458.9,442.79,9.73,448.83,4.81
2001,2,1.459,4.525,1458.9,443.1,9.96,447.91,4.68
2001,3,1.716,4.289,1458.7,443.36,11.43,447.77,4.3
2001,4,9.798,4.748,1458.7,443.57,10.56,446.72,3.98
2001,5,-5.8948,4.395,1459,443.81,9.93,444.97,3.78
2001,6,1.3308,4.266,1459,444,11.44,443.51,3.58
2001,7,0.745,4.176,1458.7,444.2,12.16,444.16,3.62
2001,8,-2.9719,3.997,1459.2,444.38,12.49,446.97,3.47
2001,9,-1.6812,3.457,1459,444.57,16.17,447.33,2.82
2001,10,5.2026,3.208,1458.8,444.75,14.83,447.26,2.33
2001,11,-0.37963,3.163,1459.3,444.94,14.52,445.87,2.18
2001,12,0.16278,3.31,1459.6,445.21,12.35,446.63,2.22
2002,1,0.66664,3.504,1458.8,445.62,12.22,446.32,2.16
2002,2,3.5273,3.49,1459.8,445.82,12.76,445.35,2.23
2002,3,1.0747,3.908,1459.5,445.91,11.31,445.49,2.57
2002,4,-1.1152,3.679,1459.7,445.89,11.17,445.96,2.48
2002,5,1.215,3.973,1460.1,445.97,10.29,447.74,2.35
2002,6,-0.56799,3.681,1459.8,446.18,10.83,450.13,2.2
2002,7,-1.0893,3.409,1460.1,446.56,11.87,451.41,1.96
2002,8,-1.5987,3.33,1460.4,446.85,12.07,450.72,1.76
2002,9,-3.7629,3.044,1460.2,447.05,13.49,450.78,1.72
2002,10,0.51539,3.027,1460.5,447.16,11.41,451.09,1.65
2002,11,-4.1611,2.95,1460.4,447.27,10.42,452.13,1.49
2002,12,-4.2567,2.654,1460.3,447.41,10.07,453.22,1.45
2003,1,4.6781,2.567,1460.2,447.67,7.97,455.63,1.36
2003,2,-3.6057,2.293,1460.2,447.85,8.47,456.99,1.3
2003,3,-2.9968,2.331,1460,448.02,7.9,457.79,1.24
2003,4,-0.02978,2.327,1460.1,448.1,5.94,458.48,1.27
2003,5,-1.936,2.092,1460.2,448.26,6.07,462.4,1.18
2003,6,-5.1676,1.986,1460.3,448.53,5.27,462.57,1.01
2003,7,0.92896,2.129,1460.5,448.88,5.1,461.36,1.12
2003,8,0,2.236,1460.9,449.12,4.58,460.24,1.31
2003,9,-0.77046,2.048,1461,449.27,4.55,460.02,1.24
2003,10,-1.8245,2.292,1461.6,449.26,3.87,461.58,1.25
2003,11,0.4702,2.355,1461.3,449.3,3.65,461.46,1.34
2003,12,-1.9325,2.208,1461.4,449.38,4.1,464.2,1.31
2004,1,0.64688,2.155,1462.1,449.59,3.73,465.18,1.24
2004,2,-0.68088,2.003,1461.9,449.75,3.79,464.85,1.24
2004,3,2.2277,1.902,1462.2,449.94,3.63,463.24,1.19
2004,4,1.7015,2.125,1462.4,450.15,3.29,461.54,1.43
2004,5,-0.74243,2.299,1462.8,450.32,3.87,462.36,1.78
2004,6,0.0040466,2.313,1462.6,450.47,3.53,462.21,2.12
