year,period,i_tot,s,r,iprod,cpi,spr_bk_bund_ea,neer
1999,1,-0.25,-1.4436,2.883,455.07,430.51,0.669,462.68
1999,2,0,0.17416,3.016,452.94,430.54,0.63345,460.45
1999,3,1,0.14333,2.871,454.22,430.74,0.70624,458.66
1999,4,-0.9,0.054657,2.616,454.44,431.11,0.75778,457.39
1999,5,0.7,-0.388,2.667,454.54,431.09,0.71135,456.87
1999,6,-0.5,-0.32633,2.889,455.49,431.12,0.58103,454.97
1999,7,5.5,0.51254,2.987,456.43,431.33,0.70447,455.09
1999,8,0,-0.2356,3.088,455.7,431.51,0.70718,455.92
1999,9,-2,0.56937,3.152,456.75,431.62,0.64249,454.2
1999,10,-7,-0.59418,3.427,457.68,431.78,0.6322,455.1
1999,11,1.2,0.56751,3.502,458.19,431.95,0.63934,452.66
1999,12,-0.1,0.24309,3.662,457.68,432.21,0.61913,450.67
2000,1,-3.5,-0.54553,3.889,458.39,432.36,0.57909,450.71
2000,2,9.5,1.6445,3.892,459.41,432.52,0.61446,449.38
2000,3,-4,0.76772,4.139,459.92,432.74,0.67055,447.81
2000,4,1.5,-0.61105,4.347,460.22,432.73,0.61889,445.96
2000,5,3.5,1.9893,4.739,462.2,432.86,0.69199,444.05
2000,6,15.2,-1.012,4.872,460.52,433.26,0.74569,447.52
2000,7,1.3,-0.35684,5.036,461.41,433.38,0.75357,446.9
2000,8,-4.8,0.17825,5.14,462.79,433.57,0.69908,444.16
2000,9,-2,0.50003,5.094,461.91,434.06,0.75947,442.09
2000,10,5.5,0.34389,5.173,461.71,434.12,0.76342,440.5
2000,11,-1.3,-0.12609,4.949,462.6,434.42,0.80003,441.36
2000,12,2.5,0.37969,4.631,464.25,434.29,0.84814,444.77
2001,1,-0.5,-0.19245,4.466,462.6,434.22,0.77536,448.83
2001,2,0.3,0.33363,4.525,463.18,434.52,0.80401,447.91
2001,3,7.7,-0.58507,4.289,462.79,434.74,0.79073,447.77
2001,4,15,0.98408,4.748,461.41,435.12,0.6979,446.72
2001,5,-16.7,0.76325,4.395,462.6,435.56,0.69346,444.97
2001,6,1,-0.071715,4.266,462.6,435.72,0.69393,443.51
2001,7,2.5,-0.23366,4.176,460.82,435.77,0.67631,444.16
2001,8,-1.5,-1.1671,3.997,463.28,435.84,0.68512,446.97
2001,9,-1,-0.70822,3.457,461.61,436.08,0.75179,447.33
2001,10,7.95,0.41591,3.208,461.02,436.09,0.74349,447.26
2001,11,5,-0.51717,3.163,460.22,436.09,0.70353,445.87
2001,12,5.5,-0.36412,3.31,460.62,436.21,0.67766,446.63
2002,1,0,0.022567,3.504,460.62,436.84,0.55632,446.32
2002,2,4.75,0.73012,3.49,460.82,436.96,0.60938,445.35
2002,3,1.5,0.20328,3.908,461.71,437.19,0.59084,445.49
2002,4,-2.5,-0.14846,3.679,461.12,437.46,0.62989,445.96
2002,5,7.7,-0.25371,3.973,461.21,437.56,0.59383,447.74
2002,6,2.25,-0.28223,3.681,461.71,437.58,0.63822,450.13
2002,7,-1,-0.23717,3.409,461.12,437.79,0.73697,451.41
2002,8,-0.2,-0.52638,3.33,461.91,437.95,0.75405,450.72
2002,9,-4,-0.88099,3.044,462.01,438.15,0.78044,450.78
2002,10,2,-0.18462,3.027,461.51,438.33,0.89398,451.09
2002,11,-1.65,-1.6045,2.95,462.2,438.33,0.8498,452.13
2002,12,-1.55,-0.89128,2.654,460.42,438.49,0.83275,453.22
2003,1,2.75,1.2374,2.567,461.91,438.96,0.8022,455.63
2003,2,1,-1.4047,2.293,462.1,439.27,0.81701,456.99
2003,3,-1.7,-1.3856,2.331,462.2,439.56,0.84636,457.79
2003,4,1.2,-0.23679,2.327,462.01,439.44,0.75171,458.48
2003,5,4,-1.1216,2.092,460.32,439.4,0.7938,462.4
2003,6,-7,-0.9378,1.986,460.62,439.56,0.70751,462.57
2003,7,0.75,0.17259,2.129,461.91,439.73,0.71007,461.36
2003,8,0,0,2.236,460.42,439.96,0.62873,460.24
2003,9,-1.5,-0.15111,2.048,460.62,440.22,0.66793,460.02
2003,10,2,-0.77919,2.292,462.4,440.31,0.58959,461.58
2003,11,1,0.10116,2.355,462.3,440.39,0.58704,461.46
2003,12,-2.45,-0.46528,2.208,462.3,440.44,0.58308,464.2
2004,1,-1.45,0.32202,2.155,462.69,440.78,0.60005,465.18
2004,2,-1.75,-0.082214,2.003,462.99,440.93,0.62593,464.85
2004,3,4,0.24665,1.902,463.08,441.23,0.62571,463.24
2004,4,8,-0.37846,2.125,463.38,441.51,0.54414,461.54
2004,5,1.5,-0.37567,2.299,463.57,441.79,0.57078,462.36
2004,6,-1.5,0.16367,2.313,463.76,441.9,0.55242,462.21
2004,7,0.15,-0.26212,2.243,464.05,442.03,0.58053,462.82
2004,8,-0.55,0.055903,2.231,462.69,442.26,0.56956,462.73
2004,9,2,-0.16226,2.315,463.86,442.32,0.53772,463.21
2004,10,-0.7,-0.06097,2.239,464.34,442.59,0.52202,464.37
2004,11,-0.7,-0.077255,2.245,463.57,442.59,0.52333,465.63
2004,12,2.6,-0.34659,2.285,462.89,442.71,0.51459,467.02
2005,1,-5.55,0.024233,2.212,464.34,442.76,0.50318,466.11
2005,2,-1.45,-0.32888,2.231,463.76,442.99,0.46808,465.51
2005,3,-1.3,0.16931,2.261,463.47,443.34,0.47926,466.19
2005,4,-2.3,-0.31313,2.115,465.59,443.59,0.55879,465.13
2005,5,0.35,0.25566,2.071,464.25,443.68,0.52888,464.13
2005,6,2.2,-0.14393,2.003,465.21,443.88,0.53559,461.54
2005,7,3.245,0.93338,2.146,465.78,444.19,0.47702,462.37
2005,8,0,-0.052428,2.132,464.82,444.44,0.47609,462.99
2005,9,-1.4,0.11799,2.264,466.53,444.86,0.41549,462.51
2005,10,-0.3,0.19685,2.467,465.97,444.98,0.45069,462.12
2005,11,-0.1,0.65822,2.637,467.19,444.82,0.4481,461.44
2005,12,-2.85,0.46817,2.724,467.38,444.9,0.39737,461.55
2006,1,-3,0.11555,2.763,466.81,445.17,0.36377,462.32
2006,2,-0.2,0.034448,2.821,467.19,445.33,0.37307,461.72
2006,3,2.45,-0.54362,3.117,467.28,445.5,0.35982,462.4
2006,4,-9.3,0.31709,3.13,468.03,445.88,0.36831,463.42
2006,5,0.9,-0.039669,3.178,469.32,446.14,0.4226,464.22
2006,6,-2.45,0.59053,3.372,469.59,446.31,0.41447,464.23
2006,7,3.2,-0.12308,3.37,469.5,446.6,0.44392,464.55
2006,8,3.95,-0.018987,3.469,469.77,446.74,0.4424,464.71
2006,9,0,0,3.609,470.32,446.59,0.45176,464.53
2006,10,0,0.094622,3.687,469.87,446.53,0.37843,464.19
2006,11,0.2,-0.90067,3.697,470.95,446.66,0.40353,464.96
2006,12,3.7,0.69718,3.879,473.27,446.77,0.40066,466.1
2007,1,-5.65,0.64495,3.958,471.4,447.03,0.37858,465.49
2007,2,2.1,-0.25463,3.944,472.21,447.18,0.40497,466.01
2007,3,1.2,0.085447,4.073,472.74,447.39,0.40223,466.86
2007,4,-0.15,-0.3215,4.161,471.49,447.82,0.36755,467.92
2007,5,-1.3,-0.11738,4.326,473.18,448.04,0.36188,468.1
2007,6,-1.95,-0.11073,4.407,473,448.19,0.34856,467.68
2007,7,0.75,-0.12066,4.382,473.09,448.39,0.48637,468.4
2007,8,-0.3,-0.051029,4.096,473.8,448.48,0.6591,467.96
2007,9,-3.15,0.52631,4.035,473.71,448.69,0.70737,469.07
2007,10,-0.65,-0.083217,4.161,473.97,449.04,0.71384,470.24
2007,11,-2.75,-0.3491,4.02,473.36,449.64,0.93358,471.88
2007,12,4.8,-0.38174,4.067,473.8,449.78,0.83986,472.4
2008,1,-0.2,-0.29562,3.7,475.19,450.23,1.0399,473.17
2008,2,-7.4,-0.60504,3.652,475.27,450.36,1.1169,473.09
2008,3,5,-0.56447,3.771,474.23,450.83,1.1699,475.82
2008,4,-0.35,0.049975,4.028,474.93,451.04,1.0721,477.5
2008,5,-1.45,-0.42532,4.271,472.21,451.62,1.0233,477.23
2008,6,20.3,-0.43398,4.68,472.03,452.08,1.162,477.45
2008,7,-16.1,1.3532,4.45,471.67,452.39,1.1603,478.2
2008,8,-9.2,-0.63727,4.321,471.04,452.19,1.3523,476.14
2008,9,-0.45,-0.75548,3.336,470.05,452.28,1.9477,474.53
2008,10,-8.3,-0.81076,2.502,468.12,452.14,2.4967,470.76
2008,11,13.6,-1.3043,1.999,464.34,451.72,2.5424,470.19
2008,12,4.7,-1.4778,1.715,461.02,451.34,2.6485,475.11
2009,1,-1.1,-0.57153,1.161,457.99,451.4,2.534,474.14
2009,2,-6.4,-0.45809,1.029,456.23,451.56,2.6794,472.1
2009,3,-1.3,0.22866,0.855,454.75,451.45,2.759,474.87
2009,4,5.35,-0.051061,0.897,453.58,451.59,2.3534,474.17
2009,5,0,0,0.944,455.28,451.66,2.0113,474.52
2009,6,6.1,0.012024,0.832,455.39,451.93,1.9823,475.22
2009,7,-6.05,-1.6696,0.622,455.6,451.76,1.7539,475.41
2009,8,0,0,0.599,455.28,452.02,1.6119,475.49
2009,9,-5.95,-0.2191,0.682,457.68,451.95,1.4711,476.7
2009,10,-3.3,-0.1734,0.723,457.26,451.97,1.3845,477.78
2009,11,0,0,0.81,457.47,452.18,1.444,477.49
2009,12,-2.5,0.31482,0.796,457.26,452.22,1.4176,476.54
2010,1,-2.3,-0.18183,0.611,458.6,452.5,1.3757,474.47
2010,2,0,0,0.536,457.26,452.55,1.438,471.93
2010,3,-0.95,0.30776,0.504,459.81,452.88,1.318,471.62
2010,4,0.8,-0.10028,0.453,460.12,453.22,1.4732,470.14
2010,5,0,0,0.263,461.41,453.28,2.0579,466.47
2010,6,0.4,0.68781,0.432,462.3,453.36,2.0955,463.87
