year,period,mp,r1y_eu,jk_gdp,jk_def,ice,neer,rstar
1999,1,2.4166,2.883,1451.4,439.8,7.95,462.68,4.015
1999,2,-0.61338,3.016,1451.3,439.79,7.5,460.45,4.0463
1999,3,-0.63825,2.871,1452.2,439.85,7.07,458.66,3.9972
1999,4,-0.91669,2.616,1452.1,439.97,6.83,457.39,3.9805
1999,5,1.3805,2.667,1452.1,440.05,6.73,456.87,4.0273
1999,6,0.50732,2.889,1452.7,440.16,6.13,454.97,4.1501
1999,7,-0.053164,2.987,1453.2,440.31,6.19,455.09,4.2684
1999,8,0.54279,3.088,1453.4,440.44,6.37,455.92,4.3411
1999,9,-4.513,3.152,1453.3,440.53,6.27,454.2,4.6354
1999,10,-7.7673,3.427,1454.5,440.58,6.16,455.1,4.7197
1999,11,1.0905,3.502,1454.3,440.65,5.69,452.66,4.8593
1999,12,-0.9308,3.662,1455,440.79,5.42,450.67,5.0434
2000,1,0.50218,3.889,1455,440.91,5.36,450.71,5.2301
2000,2,-2.9349,3.892,1455.9,441.03,5.4,449.38,5.2664
2000,3,-7.2911,4.139,1456.1,441.17,5.96,447.81,5.2723
2000,4,2.3273,4.347,1456.4,441.26,6.38,445.96,5.1815
2000,5,-5.8501,4.739,1456.7,441.38,7.25,444.05,5.2598
2000,6,12.88,4.872,1456.7,441.57,7.25,447.52,5.1674
2000,7,1.9811,5.036,1457.2,441.74,7.56,446.9,5.1387
2000,8,-5.4533,5.14,1457,441.89,7.67,444.16,5.2101
2000,9,-3.4663,5.094,1457.5,442.02,8.59,442.09,5.1222
2000,10,3.4464,5.173,1457.4,442.05,9.64,440.5,5.0219
2000,11,-1.1183,4.949,1457.9,442.22,12.11,441.36,4.9586
2000,12,0.16506,4.631,1458.7,442.47,11.57,444.77,4.6892
2001,1,0.86512,4.466,1458.9,442.79,9.73,448.83,4.3854
2001,2,-0.29216,4.525,1458.9,443.1,9.96,447.91,4.2864
2001,3,7.4388,4.289,1458.7,443.36,11.43,447.77,4.0545
2001,4,8.0415,4.748,1458.7,443.57,10.56,446.72,3.9375
2001,5,-15.629,4.395,1459,443.81,9.93,444.97,3.9143
2001,6,2.7274,4.266,1459,444,11.44,443.51,3.948
2001,7,3.0675,4.176,1458.7,444.2,12.16,444.16,3.8742
2001,8,4.4765,3.997,1459.2,444.38,12.49,446.97,3.6915
2001,9,2.9145,3.457,1459,444.57,16.17,447.33,3.1255
2001,10,5.1188,3.208,1458.8,444.75,14.83,447.26,2.7994
2001,11,3.5025,3.163,1459.3,444.94,14.52,445.87,2.747
2001,12,3.1628,3.31,1459.6,445.21,12.35,446.63,2.8914
2002,1,0.90054,3.504,1458.8,445.62,12.22,446.32,2.8272
2002,2,-0.09757,3.49,1459.8,445.82,12.76,445.35,2.8671
2002,3,0.123,3.908,1459.5,445.91,11.31,445.49,3.134
2002,4,-0.62498,3.679,1459.7,445.89,11.17,445.96,3.0916
2002,5,3.9887,3.973,1460.1,445.97,10.29,447.74,3.1004
2002,6,1.3267,3.681,1459.8,446.18,10.83,450.13,2.9883
2002,7,0.12323,3.409,1460.1,446.56,11.87,451.41,2.7033
2002,8,1.6004,3.33,1460.4,446.85,12.07,450.72,2.5915
2002,9,0.9169,3.044,1460.2,447.05,13.49,450.78,2.4856
2002,10,2.3051,3.027,1460.5,447.16,11.41,451.09,2.467
2002,11,6.0326,2.95,1460.4,447.27,10.42,452.13,2.4894
2002,12,0.19871,2.654,1460.3,447.41,10.07,453.22,2.3696
2003,1,-2.2719,2.567,1460.2,447.67,7.97,455.63,2.304
2003,2,5.3414,2.293,1460.2,447.85,8.47,456.99,2.1579
2003,3,6.1758,2.331,1460,448.02,7.9,457.79,2.1514
2003,4,1.8371,2.327,1460.1,448.1,5.94,458.48,2.1719
2003,5,5.7925,2.092,1460.2,448.26,6.07,462.4,2.0695
2003,6,-0.90697,1.986,1460.3,448.53,5.27,462.57,1.977
2003,7,0.13112,2.129,1460.5,448.88,5.1,461.36,2.0647
2003,8,0,2.236,1460.9,449.12,4.58,460.24,2.2682
2003,9,-0.045338,2.048,1461,449.27,4.55,460.02,2.2221
2003,10,3.2473,2.292,1461.6,449.26,3.87,461.58,2.3926
2003,11,-0.043492,2.355,1461.3,449.3,3.65,461.46,2.4682
2003,12,0.57305,2.208,1461.4,449.38,4.1,464.2,2.3815
2004,1,-1.5156,2.155,1462.1,449.59,3.73,465.18,2.4679
2004,2,-0.44871,2.003,1461.9,449.75,3.79,464.85,2.4179
2004,3,1.6459,1.902,1462.2,449.94,3.63,463.24,2.4145
2004,4,5.7703,2.125,1462.4,450.15,3.29,461.54,2.5439
2004,5,1.788,2.299,1462.8,450.32,3.87,462.36,2.783
2004,6,-1.2966,2.313,1462.6,450.47,3.53,462.21,2.9227
2004,7,0.74817,2.243,1463.3,450.59,3.63,462.82,2.9378
2004,8,-0.26106,2.231,1462.7,450.75,3.48,462.73,2.817
2004,9,1.196,2.315,1462.7,450.92,3.32,463.21,2.8195
2004,10,-0.57138,2.239,1463.4,451.14,3.23,464.37,2.8358
2004,11,-0.19544,2.245,1463.1,451.31,2.97,465.63,2.8665
2004,12,1.9224,2.285,1463.4,451.47,2.78,467.02,2.9289
2005,1,-2.497,2.212,1463.8,451.58,2.85,466.11,3.0316
2005,2,0.5854,2.231,1463.4,451.74,2.43,465.51,3.1683
2005,3,-1.1143,2.261,1463.2,451.91,3.29,466.19,3.2489
2005,4,-0.084607,2.115,1463.6,452.06,3.98,465.13,3.198
2005,5,-0.74208,2.071,1464.3,452.19,4.4,464.13,3.1233
2005,6,1.4009,2.003,1464.5,452.29,3.92,461.54,3.0623
2005,7,-1.5486,2.146,1464.6,452.41,3.38,462.37,3.1656
2005,8,0.13667,2.132,1464.5,452.58,3.41,462.99,3.2424
2005,9,-0.83704,2.264,1465.2,452.85,3.33,462.51,3.3056
2005,10,-0.81077,2.467,1465.3,453.11,3.35,462.12,3.4663
2005,11,-2.6303,2.637,1465.5,453.27,3.65,461.44,3.5327
2005,12,-3.2177,2.724,1465.5,453.4,3.99,461.55,3.5386
2006,1,-1.9217,2.763,1466.2,453.47,3.28,462.32,3.6079
2006,2,-0.64584,2.821,1466.3,453.57,3.35,461.72,3.6875
2006,3,2.2798,3.117,1466.5,453.71,2.94,462.4,3.7636
2006,4,-6.7889,3.13,1467.3,453.93,2.79,463.42,3.881
2006,5,0.041235,3.178,1467.2,454.12,3.03,464.22,3.9716
2006,6,-4.226,3.372,1467.8,454.3,3.14,464.23,4.0905
2006,7,1.7002,3.37,1467.7,454.49,3.02,464.55,4.1327
2006,8,1.8003,3.469,1467.9,454.66,2.89,464.71,4.134
2006,9,0,3.609,1468.5,454.8,2.87,464.53,4.1044
2006,10,-0.38447,3.687,1468.6,454.95,2.53,464.19,4.1877
2006,11,2.3968,3.697,1469.2,455.16,2.52,464.96,4.1981
2006,12,-0.75969,3.879,1469.6,455.43,2.33,466.1,4.2386
2007,1,-4.8338,3.958,1469.4,455.79,2.08,465.49,4.3772
2007,2,1.3266,3.944,1469.6,456.03,2.22,466.01,4.3466
2007,3,0.31986,4.073,1470.7,456.23,2.18,466.86,4.3309
2007,4,0.69356,4.161,1470.5,456.41,2.05,467.92,4.3993
2007,5,-0.024532,4.326,1470.1,456.53,1.87,468.1,4.47
2007,6,-0.32407,4.407,1470.9,456.68,2.26,467.68,4.5361
2007,7,0.41635,4.382,1470.4,456.86,3.5,468.4,4.5374
2007,8,-0.13259,4.096,1471.1,457.04,4.1,467.96,4.2902
2007,9,-3.9879,4.035,1471.4,457.28,3.68,469.07,4.0744
2007,10,0.018039,4.161,1471.6,457.57,3.7,470.24,4.0825
2007,11,-0.36239,4.02,1471.7,457.82,4.94,471.88,3.7763
2007,12,2.6242,4.067,1471.1,457.95,4.91,472.4,3.635
2008,1,0.68851,3.7,1471.8,458.05,6.63,473.17,3.2824
2008,2,-1.6261,3.652,1472.6,458.14,7.35,473.09,3.0127
2008,3,3.7137,3.771,1471.6,458.38,7.65,475.82,2.7954
2008,4,-0.22182,4.028,1472.1,458.62,6.22,477.5,2.9466
2008,5,0.47827,4.271,1471.5,458.84,6.15,477.23,3.2528
2008,6,11,4.68,1471.2,458.95,7.33,477.45,3.4596
2008,7,-10.341,4.45,1471,458.92,8.35,478.2,3.3446
2008,8,-1.2832,4.321,1471.3,458.96,8.72,476.14,3.2043
2008,9,1.8085,3.336,1471.1,459.13,12.08,474.53,2.8812
2008,10,-1.4955,2.502,1470.5,459.39,19.19,470.76,2.1685
2008,11,15.685,1.999,1469.2,459.55,21.82,470.19,1.5849
2008,12,7.5322,1.715,1468.4,459.6,22.04,475.11,0.90281
2009,1,0.29329,1.161,1467.1,459.7,19.54,474.14,0.8053
2009,2,-2.3455,1.029,1466.3,459.74,20.5,472.1,0.75575
2009,3,-0.69204,0.855,1465.7,459.7,19.93,474.87,0.71237
2009,4,4.8924,0.897,1466.3,459.7,18.87,474.17,0.68591
2009,5,0,0.944,1465.9,459.69,15.82,474.52,0.66594
2009,6,2.5534,0.832,1466.1,459.76,14.18,475.22,0.75257
2009,7,0.89828,0.622,1466.7,459.82,11.59,475.41,0.7087
