year,period,mp,r,unemp,cpi,ice,neer
1999,1,2.4166,2.883,10.2,430.51,7.95,462.68
1999,2,-0.61338,3.016,10.1,430.54,7.5,460.45
1999,3,-0.63825,2.871,10.1,430.74,7.07,458.66
1999,4,-0.91669,2.616,10,431.11,6.83,457.39
1999,5,1.3805,2.667,9.9,431.09,6.73,456.87
1999,6,0.50732,2.889,9.9,431.12,6.13,454.97
1999,7,-0.053164,2.987,9.8,431.33,6.19,455.09
1999,8,0.54279,3.088,9.7,431.51,6.37,455.92
1999,9,-4.513,3.152,9.6,431.62,6.27,454.2
1999,10,-7.7673,3.427,9.6,431.78,6.16,455.1
1999,11,1.0905,3.502,9.5,431.95,5.69,452.66
1999,12,-0.9308,3.662,9.4,432.21,5.42,450.67
2000,1,0.50218,3.889,9.4,432.36,5.36,450.71
2000,2,-2.9349,3.892,9.3,432.52,5.4,449.38
2000,3,-7.2911,4.139,9.2,432.74,5.96,447.81
2000,4,2.3273,4.347,9.1,432.73,6.38,445.96
2000,5,-5.8501,4.739,9,432.86,7.25,444.05
2000,6,12.88,4.872,8.9,433.26,7.25,447.52
2000,7,1.9811,5.036,8.8,433.38,7.56,446.9
2000,8,-5.4533,5.14,8.8,433.57,7.67,444.16
2000,9,-3.4663,5.094,8.7,434.06,8.59,442.09
2000,10,3.4464,5.173,8.6,434.12,9.64,440.5
2000,11,-1.1183,4.949,8.5,434.42,12.11,441.36
2000,12,0.16506,4.631,8.4,434.29,11.57,444.77
2001,1,0.86512,4.466,8.3,434.22,9.73,448.83
2001,2,-0.29216,4.525,8.3,434.52,9.96,447.91
2001,3,7.4388,4.289,8.3,434.74,11.43,447.77
2001,4,8.0415,4.748,8.3,435.12,10.56,446.72
2001,5,-15.629,4.395,8.3,435.56,9.93,444.97
2001,6,2.7274,4.266,8.3,435.72,11.44,443.51
2001,7,3.0675,4.176,8.3,435.77,12.16,444.16
2001,8,4.4765,3.997,8.3,435.84,12.49,446.97
2001,9,2.9145,3.457,8.3,436.08,16.17,447.33
2001,10,5.1188,3.208,8.3,436.09,14.83,447.26
2001,11,3.5025,3.163,8.4,436.09,14.52,445.87
2001,12,3.1628,3.31,8.4,436.21,12.35,446.63
2002,1,0.90054,3.504,8.4,436.84,12.22,446.32
2002,2,-0.09757,3.49,8.5,436.96,12.76,445.35
2002,3,0.123,3.908,8.5,437.19,11.31,445.49
2002,4,-0.62498,3.679,8.6,437.46,11.17,445.96
2002,5,3.9887,3.973,8.6,437.56,10.29,447.74
2002,6,1.3267,3.681,8.6,437.58,10.83,450.13
2002,7,0.12323,3.409,8.6,437.79,11.87,451.41
2002,8,1.6004,3.33,8.7,437.95,12.07,450.72
2002,9,0.9169,3.044,8.7,438.15,13.49,450.78
2002,10,2.3051,3.027,8.8,438.33,11.41,451.09
2002,11,6.0326,2.95,8.8,438.33,10.42,452.13
2002,12,0.19871,2.654,8.8,438.49,10.07,453.22
2003,1,-2.2719,2.567,9,438.96,7.97,455.63
2003,2,5.3414,2.293,9,439.27,8.47,456.99
2003,3,6.1758,2.331,9.1,439.56,7.9,457.79
2003,4,1.8371,2.327,9.1,439.44,5.94,458.48
2003,5,5.7925,2.092,9.1,439.4,6.07,462.4
