year,period,mp,r1y_eu,gdp,def,ice,eur_usd,r1y_us
1999,1,2.425,2.883,1457.9,433.88,7.95,12.848,4.51
1999,2,-0.63865,3.016,1456.2,433.99,7.5,9.4856,4.7
1999,3,-0.68395,2.871,1458.3,434.08,7.07,7.7702,4.78
1999,4,-0.95486,2.616,1457.8,434.17,6.83,5.4867,4.69
1999,5,1.3415,2.667,1457.8,434.19,6.73,4.1334,4.85
1999,6,0.47567,2.889,1458.6,434.24,6.13,3.0529,5.1
1999,7,-0.14886,2.987,1459.2,434.31,6.19,6.7098,5.03
1999,8,0.52728,3.088,1459.2,434.4,6.37,5.6475,5.2
1999,9,-4.5365,3.152,1459.2,434.48,6.27,6.2317,5.25
1999,10,-7.6927,3.427,1460.4,434.6,6.16,5.0503,5.43
1999,11,1.0016,3.502,1460.2,434.71,5.69,0.76705,5.55
1999,12,-0.97877,3.662,1460.5,434.82,5.42,0.69756,5.84
2000,1,0.48352,3.889,1460.8,434.93,5.36,-2.46,6.12
2000,2,-3.0394,3.892,1462,435.03,5.4,-3.6353,6.22
2000,3,-7.3185,4.139,1461.9,435.16,5.96,-4.3534,6.22
2000,4,2.2892,4.347,1462.1,435.25,6.38,-9.552,6.15
2000,5,-5.9415,4.739,1462.9,435.38,7.25,-6.9564,6.33
2000,6,12.741,4.872,1462.4,435.58,7.25,-4.6568,6.17
2000,7,1.9339,5.036,1462.9,435.74,7.56,-7.6233,6.08
2000,8,-5.4454,5.14,1463.1,435.91,7.67,-11.901,6.18
2000,9,-3.4766,5.094,1463.1,436.09,8.59,-12.364,6.13
2000,10,3.3421,5.173,1462.7,436.19,9.64,-16.417,6.01
2000,11,-1.1655,4.949,1463.4,436.41,12.11,-13.995,6.09
2000,12,0.11928,4.631,1464.9,436.66,11.57,-6.3153,5.6
2001,1,0.82032,4.466,1464.8,436.92,9.73,-7.1711,4.81
2001,2,-0.35302,4.525,1464.9,437.19,9.96,-8.2078,4.68
2001,3,7.3176,4.289,1464.3,437.38,11.43,-12.852,4.3
2001,4,7.8491,4.748,1464.3,437.51,10.56,-11.946,3.98
2001,5,-15.535,4.395,1465,437.72,9.93,-16.783,3.78
2001,6,2.6569,4.266,1465,437.93,11.44,-16.558,3.58
2001,7,3.001,4.176,1464.5,438.18,12.16,-13.33,3.62
2001,8,4.4494,3.997,1465.3,438.42,12.49,-9.541,3.47
2001,9,2.899,3.457,1464.9,438.69,16.17,-9.4421,2.82
2001,10,4.9921,3.208,1464.7,438.95,14.83,-10.614,2.33
2001,11,3.4689,3.163,1464.9,439.2,14.52,-11.004,2.18
2001,12,3.1231,3.31,1465.4,439.44,12.35,-11.642,2.22
2002,1,0.86639,3.504,1464.3,439.76,12.22,-15.152,2.16
2002,2,-0.16084,3.49,1465.5,439.92,12.76,-14.41,2.23
2002,3,0.087233,3.908,1465.4,440,11.31,-13.731,2.57
2002,4,-0.63164,3.679,1465.5,440.01,11.17,-10.514,2.48
2002,5,3.9339,3.973,1465.8,440.12,10.29,-6.8386,2.35
2002,6,1.3044,3.681,1465.6,440.33,10.83,-1.4505,2.2
